student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa
SEM2_0067,Dalbir Sachar,27,Male,MCA,2,82.31,7.73,82.7,16,3,At-risk,7.23
SEM2_0068,Omaja Wagle,27,Female,MCA,2,62.17,6.17,99.6,24,2,Average,8.01
SEM2_0069,Krish Rama,25,Female,MCA,2,59.73,6.43,90.1,23,0,Average,8.61
SEM2_0070,Xavier Kumer,28,Female,MCA,2,80.89,8.65,78.0,18,0,Average,7.78
SEM2_0071,Samar Narayanan,21,Female,MCA,2,80.31,7.81,93.9,23,0,Average,7.3
SEM2_0072,Farhan Sengupta,25,Male,MCA,2,67.02,6.99,71.2,22,1,Average,8.33
SEM2_0073,Kamala Chanda,22,Male,MCA,2,73.12,7.45,71.2,15,1,Average,8.11
SEM2_0074,Rayaan Behl,22,Male,MCA,2,52.53,5.6,71.9,24,1,Average,7.95
SEM2_0075,Amrita Purohit,24,Male,MCA,2,59.6,6.17,91.0,24,0,Excellent,9.54
SEM2_0076,Balveer Bora,25,Female,MCA,2,84.33,8.43,76.1,27,1,Average,8.35
SEM2_0077,Raghav Kalla,25,Male,MCA,2,85.92,8.63,93.2,13,4,At-risk,7.4
SEM2_0078,Varenya Joshi,26,Male,MCA,2,78.91,7.74,81.4,20,1,Average,7.49
SEM2_0079,Gaurangi Mitter,23,Male,MCA,2,70.56,7.0,80.3,20,0,Average,7.71
SEM2_0080,Alexander Kakar,24,Male,MCA,2,95.0,9.14,66.5,24,0,Average,7.26
SEM2_0081,Ranveer Dalal,22,Male,MCA,2,52.18,4.69,89.0,26,1,Average,7.89
SEM2_0082,Varenya Kibe,27,Female,MCA,2,69.54,6.15,71.8,18,1,Average,7.54
SEM2_0083,Samarth Ranganathan,28,Male,MCA,2,70.28,7.41,83.6,20,0,Average,8.52
SEM2_0084,Wriddhish Nagy,25,Female,MCA,2,92.58,8.75,74.8,19,0,Excellent,8.42
SEM2_0085,Barkha Rai,22,Female,MCA,2,80.43,8.31,60.6,20,1,Average,7.0
SEM2_0086,Unnati Walla,24,Male,MCA,2,73.17,6.87,88.8,13,0,Average,7.62
SEM2_0087,Jagrati Morar,27,Female,MCA,2,68.95,6.72,100.0,24,1,Excellent,7.73
SEM2_0088,Advika Parsa,26,Male,MCA,2,81.4,7.6,71.7,28,0,Excellent,8.59
SEM2_0089,Yochana Tank,22,Female,MCA,2,89.85,9.14,76.6,17,0,Average,7.54
SEM2_0090,Unnati Chaudhari,22,Male,MCA,2,72.87,7.26,83.2,17,0,Average,8.39
SEM2_0091,Upasna Nagarajan,26,Female,MCA,2,64.66,7.4,98.0,20,0,Excellent,8.85
SEM2_0092,Samar Prabhakar,23,Male,MCA,2,78.69,7.96,76.0,24,0,Average,7.46
SEM2_0093,Dhriti Sachdev,24,Female,MCA,2,64.93,6.62,73.2,14,2,Average,7.59
SEM2_0094,Chakradev Kant,28,Female,MCA,2,69.79,6.66,76.4,27,2,Average,8.49
SEM2_0095,Madhav Babu,28,Female,MCA,2,74.88,7.66,71.9,19,1,Average,8.02
SEM2_0096,Advika Sahni,22,Male,MCA,2,64.29,6.0,82.9,14,4,At-risk,7.53
SEM2_0097,Chakrika Dua,25,Female,MCA,2,73.08,6.99,89.6,23,1,Average,7.69
SEM2_0098,Rohan Narayan,22,Female,MCA,2,71.34,7.01,92.3,14,2,Average,7.78
SEM2_0099,Victor Raghavan,24,Male,MCA,2,82.65,8.18,92.7,22,1,Average,7.65
SEM2_0100,Yatan Tata,27,Female,MCA,2,64.38,6.33,81.5,16,0,Average,8.58
SEM2_0101,Geetika Kurian,27,Male,MCA,2,68.52,6.83,76.3,24,0,Excellent,8.89
SEM2_0102,Vrinda Swaminathan,22,Female,MCA,2,72.2,6.94,85.8,22,0,Excellent,9.11
SEM2_0103,Triveni Ganguly,21,Male,MCA,2,65.14,6.8,70.5,23,0,Average,7.78
SEM2_0104,Indira Gara,23,Male,MCA,2,54.49,5.39,80.8,18,2,At-risk,6.61
SEM2_0105,Logan Suresh,23,Female,MCA,2,71.84,7.59,84.0,16,0,Average,7.5
SEM2_0106,Qarin Bhargava,23,Male,MCA,2,70.92,7.48,86.9,27,1,Excellent,8.38
SEM2_0107,Bahadurjit Borde,27,Female,MCA,2,71.78,7.43,94.8,19,0,Average,8.09
SEM2_0108,Chanakya Ahuja,27,Female,MCA,2,93.43,9.18,81.6,26,0,Excellent,8.38
SEM2_0109,Nitara Devan,25,Male,MCA,2,69.12,7.0,77.3,12,0,Average,8.21
SEM2_0110,Vihaan Bir,24,Male,MCA,2,63.2,6.41,77.8,14,2,Average,8.21
SEM2_0111,Matthew Andra,22,Female,MCA,2,61.63,5.83,67.6,20,0,Average,6.97
SEM2_0112,Tejas Tiwari,27,Female,MCA,2,74.35,7.87,92.2,25,3,At-risk,8.33
SEM2_0113,Tamanna Prakash,25,Female,MCA,2,53.37,5.69,88.4,17,1,Average,6.62
SEM2_0114,Darpan Subramanian,25,Female,MCA,2,82.43,8.08,77.6,26,3,Average,7.28
SEM2_0115,Vinaya Babu,23,Male,MCA,2,68.66,7.12,85.1,17,1,Average,7.34
SEM2_0116,Abeer Wali,22,Male,MCA,2,85.99,8.46,89.1,15,4,At-risk,6.14
SEM2_0117,Nisha Arora,23,Female,MCA,2,72.34,7.19,64.2,17,0,Average,7.98
SEM2_0118,Anay Wagle,25,Female,MCA,2,78.23,8.46,86.6,25,0,Excellent,8.74
SEM2_0119,Anvi Wason,21,Female,MCA,2,75.77,7.25,84.7,19,2,Average,8.12
SEM2_0120,Bhavini Badal,21,Female,MCA,2,67.94,6.24,61.3,21,0,Average,7.59
SEM2_0121,Yadavi Sani,28,Male,MCA,2,67.0,6.79,93.2,26,2,Average,8.59
SEM2_0122,Praneel Chhabra,25,Male,MCA,2,69.32,6.99,64.3,20,0,Average,8.14
SEM2_0123,Gopal Viswanathan,28,Male,MCA,2,59.5,6.02,72.7,11,1,At-risk,6.33
SEM2_0124,Manthan Khosla,26,Male,MCA,2,82.16,8.45,76.9,16,2,Average,7.65
SEM2_0125,Rehaan Vyas,27,Male,MCA,2,69.3,6.54,62.8,19,0,Average,7.15
SEM2_0126,Zayyan Pandya,27,Male,MCA,2,64.5,6.56,99.2,19,1,Average,6.5
SEM2_0127,Amara Ranganathan,21,Male,MCA,2,69.81,6.7,95.1,11,3,At-risk,7.06
SEM2_0128,Farhan Prakash,25,Female,MCA,2,80.53,8.49,77.7,21,0,Excellent,8.31
SEM2_0129,Nidra Sharaf,28,Female,MCA,2,76.38,7.77,78.8,22,0,Average,8.18
SEM2_0130,Yagnesh Kara,24,Male,MCA,2,80.18,7.59,84.7,20,0,Excellent,8.68
SEM2_0131,Charita Buch,25,Female,MCA,2,52.14,5.17,67.3,19,3,At-risk,7.13
SEM2_0132,Azad Chander,26,Male,MCA,2,83.88,7.94,70.4,17,0,Average,7.48
SEM2_0133,Nidra Raghavan,27,Male,MCA,2,68.41,6.95,86.7,23,0,Average,7.06
SEM2_0134,Krishna Soni,26,Female,MCA,2,88.68,9.25,78.2,17,1,Average,8.92
SEM2_0135,Daksh Andra,28,Female,MCA,2,95.0,9.42,79.8,16,0,Average,7.7
SEM2_0136,Onveer Butala,25,Male,MCA,2,80.82,8.14,82.4,20,1,Average,8.11
SEM2_0137,Xalak Saraf,25,Male,MCA,2,74.73,7.87,84.4,22,0,Average,7.47
SEM2_0138,Garima Chandran,26,Male,MCA,2,75.97,7.51,84.0,20,2,Average,8.19
SEM2_0139,Brijesh Karpe,23,Male,MCA,2,68.98,7.19,67.6,11,0,Average,8.34
SEM2_0140,Siddharth Soman,22,Female,MCA,2,63.36,6.29,70.9,23,0,Average,7.84
SEM2_0141,Anika Batra,26,Female,MCA,2,63.63,5.63,65.8,21,0,Average,6.65
SEM2_0142,Falan Mand,24,Male,MCA,2,91.92,9.8,71.3,23,2,Average,8.86
SEM2_0143,Bachittar Gola,22,Male,MCA,2,57.04,5.7,78.3,18,0,Average,7.82
SEM2_0144,Divya Babu,25,Male,MCA,2,75.86,7.17,89.3,11,4,At-risk,6.98
SEM2_0145,Sarthak Dhawan,27,Female,MCA,2,67.58,6.77,74.0,19,0,Average,7.69
SEM2_0146,Mitali Bose,21,Female,MCA,2,84.55,8.65,92.7,24,1,Average,7.87
SEM2_0147,Chandani Gaba,24,Female,MCA,2,80.02,8.19,86.7,22,1,Average,8.57
SEM2_0148,Wridesh Ramachandran,28,Male,MCA,2,82.6,8.59,95.1,26,0,Excellent,9.04
SEM2_0149,Garima Rajagopalan,23,Female,MCA,2,72.47,7.74,52.2,15,3,At-risk,7.25
SEM2_0150,Logan Brar,23,Male,MCA,2,62.54,5.98,93.6,23,1,Average,8.62
SEM2_0151,Xiti Pal,24,Male,MCA,2,77.99,7.57,75.6,25,1,Average,8.14
SEM2_0152,Chatresh Chaudhari,26,Female,MCA,2,66.65,6.78,73.8,24,0,Average,8.48
SEM2_0153,Rajeshri Kata,25,Male,MCA,2,74.68,6.88,74.5,20,0,Average,9.06
SEM2_0154,Faqid Oak,25,Male,MCA,2,81.24,7.86,91.0,17,0,Average,7.38
SEM2_0155,Mekhala Narain,27,Female,MCA,2,71.17,7.09,82.6,20,0,Excellent,9.32
SEM2_0156,Ayushman Mahajan,24,Female,MCA,2,72.0,7.05,67.7,20,0,Average,7.83
SEM2_0157,Shravya Swaminathan,27,Female,MCA,2,87.93,8.91,70.8,16,1,Average,7.1
SEM2_0158,Vedant Parekh,27,Female,MCA,2,57.14,6.02,81.6,19,0,Average,7.4
SEM2_0159,Keya Sankaran,28,Female,MCA,2,64.52,6.6,61.8,13,4,At-risk,7.92
SEM2_0160,Quincy Rai,28,Male,MCA,2,87.98,8.57,86.9,20,0,Average,8.23
SEM2_0161,Frederick Merchant,26,Male,MCA,2,72.97,7.09,75.7,23,1,Average,8.33
SEM2_0162,Yatin Borah,21,Female,MCA,2,67.2,6.71,78.1,30,0,Excellent,8.52
SEM2_0163,Fitan Loyal,24,Female,MCA,2,73.12,8.14,83.0,21,0,Average,7.67
SEM2_0164,Mitesh Rai,25,Male,MCA,2,78.54,7.77,83.9,16,0,Average,7.05
SEM2_0165,Mitesh Ramachandran,21,Male,MCA,2,67.0,6.68,90.0,17,1,Average,8.37
SEM2_0166,Edhitha Patel,27,Female,MCA,2,69.16,6.74,77.2,20,0,Average,7.65
SEM2_0167,Hredhaan Chand,27,Male,MCA,2,70.4,7.22,80.5,20,1,Average,8.32
SEM2_0168,Abdul Morar,26,Male,MCA,2,80.7,8.8,84.4,22,1,Average,9.58
SEM2_0169,Sai Parsa,21,Male,MCA,2,81.8,9.08,81.1,18,0,Average,7.72
SEM2_0170,Anamika Chaudry,27,Female,MCA,2,71.44,7.23,73.9,17,1,Average,8.33
SEM2_0171,Kevin Chahal,28,Female,MCA,2,69.57,7.26,76.1,10,4,At-risk,7.7
SEM2_0172,Rachit Sankar,27,Male,MCA,2,76.61,7.13,88.0,17,0,Average,7.84
SEM2_0173,Saumya Vala,24,Female,MCA,2,81.68,8.31,90.5,22,0,Average,8.37
SEM2_0174,Nikita Chauhan,22,Male,MCA,2,91.53,9.39,95.4,23,0,Excellent,8.14
SEM2_0175,Atharv Chakraborty,25,Male,MCA,2,68.16,6.74,96.1,10,3,At-risk,7.85
SEM2_0176,Irya Chander,25,Male,MCA,2,79.7,8.23,100.0,16,1,Average,8.69
SEM2_0177,Ekta Rajan,28,Female,MCA,2,45.0,4.82,93.8,25,0,Excellent,9.35
SEM2_0178,Advik Manne,25,Male,MCA,2,66.63,7.1,74.1,20,0,Average,8.38
SEM2_0179,Odika Rama,28,Male,MCA,2,60.63,5.95,83.2,18,1,Average,7.58
SEM2_0180,Frado Kibe,21,Male,MCA,2,73.48,7.27,94.0,28,1,Excellent,9.36
SEM2_0181,Omkaar Rai,24,Male,MCA,2,62.59,6.29,80.2,25,0,Excellent,7.98
SEM2_0182,Omkaar Dewan,27,Female,MCA,2,62.43,5.96,76.2,20,0,Average,6.37
SEM2_0183,Amruta Mitra,26,Male,MCA,2,69.89,6.61,61.9,12,4,At-risk,7.05
SEM2_0184,Amrita Tailor,26,Female,MCA,2,72.23,7.44,81.9,27,0,Excellent,8.47
SEM2_0185,Madhav Bhatnagar,21,Male,MCA,2,68.1,6.99,73.5,17,0,Average,7.29
SEM2_0186,Oliver Saran,27,Female,MCA,2,72.34,6.65,83.1,22,0,Average,8.53
SEM2_0187,Anya Sama,27,Female,MCA,2,78.87,8.15,71.2,23,0,Average,8.04
SEM2_0188,Chandani Sule,21,Male,MCA,2,63.46,6.2,82.7,20,0,Average,8.16
SEM2_0189,Faraj Patel,22,Male,MCA,2,90.98,9.06,90.9,20,2,Average,8.01
SEM2_0190,Zayan Koshy,24,Female,MCA,2,85.75,8.7,91.9,15,0,Average,7.57
SEM2_0191,Warhi Hayre,21,Female,MCA,2,79.3,7.6,80.4,23,0,Average,7.11
SEM2_0192,Tanvi Chhabra,28,Female,MCA,2,73.58,7.37,79.2,25,0,Excellent,8.83
SEM2_0193,Krishna Modi,25,Male,MCA,2,89.75,8.46,81.4,20,0,Average,8.73
SEM2_0194,Abeer Randhawa,24,Female,MCA,2,74.81,8.0,67.3,26,0,Excellent,9.8
SEM2_0195,Gaurangi Rai,22,Female,MCA,2,72.14,7.41,74.1,28,0,Average,7.9
SEM2_0196,Forum Sarraf,22,Male,MCA,2,69.96,8.09,79.9,14,1,Average,7.42
SEM2_0197,Gaurika Sani,27,Male,MCA,2,60.94,5.82,70.4,21,0,Average,7.68
SEM2_0198,Laban Mital,23,Male,MCA,2,74.76,6.86,71.2,18,0,Average,7.53
SEM2_0199,Ekani Iyer,26,Male,MCA,2,85.71,9.15,100.0,26,1,Excellent,8.51
SEM2_0200,Varenya Murthy,21,Female,MCA,2,70.84,7.53,91.9,21,1,Average,7.22
SEM2_0201,Peter Rao,26,Female,MCA,2,72.19,6.8,89.9,19,0,Average,6.39
SEM2_0202,Eiravati Manne,23,Female,MCA,2,70.08,7.24,83.3,12,2,Average,8.05
SEM2_0203,Vritti Kibe,23,Female,MCA,2,73.83,7.09,62.8,21,0,Average,8.52
SEM2_0204,Eshana Puri,21,Male,MCA,2,61.45,6.12,79.2,24,0,Average,7.66
SEM2_0205,Avni Ramaswamy,23,Female,MCA,2,91.67,9.15,92.5,15,4,At-risk,8.51
SEM2_0206,Janya Comar,26,Female,MCA,2,58.61,5.78,82.6,11,3,At-risk,6.86
SEM2_0207,Ryan Gole,25,Male,MCA,2,78.04,8.06,71.1,16,0,Average,7.41
SEM2_0208,Avi Shenoy,28,Female,MCA,2,79.3,8.17,85.6,20,1,Average,7.48
SEM2_0209,Shaurya Sarma,27,Male,MCA,2,58.65,6.17,93.1,20,1,Average,8.12
SEM2_0210,Bishakha Biswas,28,Female,MCA,2,84.23,8.61,79.7,22,1,Average,7.39
SEM2_0211,Nilima Tata,25,Male,MCA,2,72.31,7.1,73.3,24,0,Average,7.95
SEM2_0212,Liam Mitter,28,Female,MCA,2,82.44,8.24,64.9,17,0,Average,8.52
SEM2_0213,Wyatt Krishnan,22,Female,MCA,2,70.28,7.91,67.2,16,3,At-risk,7.53
SEM2_0214,Mitesh Sampath,23,Male,MCA,2,68.64,6.99,77.3,23,0,Average,8.65
SEM2_0215,Krishna Borah,28,Male,MCA,2,86.02,8.31,83.3,14,4,At-risk,7.04
SEM2_0216,Saumya Srinivas,23,Male,MCA,2,48.78,4.68,86.1,13,2,At-risk,6.85
SEM2_0217,Nandini Warrior,28,Male,MCA,2,80.46,7.93,85.3,22,1,Average,8.42
SEM2_0218,Yashawini Sahota,23,Male,MCA,2,69.05,7.33,73.8,16,1,Average,9.47
SEM2_0219,Balhaar Parsa,28,Female,MCA,2,86.07,8.75,88.2,15,3,At-risk,8.35
SEM2_0220,Frederick Chopra,27,Male,MCA,2,79.97,8.52,85.5,25,0,Excellent,8.2
SEM2_0221,Yuvraj Pant,27,Male,MCA,2,74.48,7.18,89.7,16,0,Average,7.08
SEM2_0222,Ojas Basu,23,Female,MCA,2,75.77,7.45,77.4,19,1,Average,7.47
SEM2_0223,Mugdha Narula,24,Male,MCA,2,70.44,6.92,82.8,24,1,Average,7.96
SEM2_0224,Qushi Cherian,27,Male,MCA,2,77.19,7.27,89.8,30,2,Average,8.87
SEM2_0225,Advaith Chaudhari,23,Male,MCA,2,77.11,7.15,71.3,23,0,Average,8.1
SEM2_0226,Aarna Kapadia,27,Female,MCA,2,72.36,7.18,69.2,21,2,Average,8.21
SEM2_0227,Yashvi Venkataraman,26,Female,MCA,2,52.25,4.93,82.1,17,3,At-risk,7.15
SEM2_0228,Timothy Sehgal,22,Female,MCA,2,65.67,7.26,62.5,9,4,At-risk,7.37
SEM2_0229,Kavya Raman,24,Male,MCA,2,49.54,5.02,99.2,18,2,Average,7.47
SEM2_0230,Ubika Tella,28,Male,MCA,2,66.41,6.53,76.6,17,2,Average,8.33
SEM2_0231,Matthew Pai,27,Male,MCA,2,69.36,6.66,74.0,20,1,Average,7.25
SEM2_0232,Aryan Subramanian,25,Male,MCA,2,45.0,4.5,97.3,21,0,Average,8.18
SEM2_0233,Henry Merchant,26,Male,MCA,2,74.05,7.13,72.0,18,0,Average,8.77
SEM2_0234,Ojasvi Chada,27,Male,MCA,2,60.23,6.19,97.8,19,0,Average,6.37
SEM2_0235,Jack Dhar,24,Male,MCA,2,73.76,7.53,79.3,16,0,Average,8.26
SEM2_0236,Ijaya Muni,23,Male,MCA,2,84.61,8.68,80.9,18,0,Average,7.64
SEM2_0237,Hemal Shah,24,Female,MCA,2,64.64,6.36,86.1,20,1,Average,8.35
SEM2_0238,Samuel Verma,25,Male,MCA,2,72.12,6.87,87.4,28,0,Excellent,8.91
SEM2_0239,Vasudha Pall,24,Female,MCA,2,80.55,8.15,93.1,20,0,Average,7.63
SEM2_0240,Vamakshi Chatterjee,27,Female,MCA,2,56.67,5.27,89.7,24,0,Average,8.38
SEM2_0241,Raksha Sethi,25,Male,MCA,2,68.42,6.41,91.8,17,1,Average,7.08
SEM2_0242,Eiravati Bhavsar,21,Female,MCA,2,64.65,5.98,58.5,20,0,Average,7.37
SEM2_0243,Charita Basu,27,Female,MCA,2,83.89,8.62,79.7,27,1,Excellent,9.09
SEM2_0244,Ishwar Bajaj,28,Male,MCA,2,75.96,7.66,71.5,23,0,Average,7.76
SEM2_0245,Hemal Chopra,25,Male,MCA,2,56.27,5.26,89.9,21,0,Average,7.82
SEM2_0246,Nitesh Kohli,25,Female,MCA,2,75.06,7.25,71.0,17,0,Average,7.45
SEM2_0247,Zaitra Ghosh,21,Female,MCA,2,63.92,6.26,95.1,15,4,At-risk,7.58
SEM2_0248,Nathaniel Narayanan,25,Male,MCA,2,63.98,6.22,72.0,16,2,Average,9.12
SEM2_0249,Pooja Shere,24,Male,MCA,2,83.02,8.47,63.9,22,0,Average,8.82
SEM2_0250,Vincent Ravel,23,Male,MCA,2,81.65,8.41,98.5,18,0,Average,7.37
SEM2_0251,Qarin Grewal,28,Female,MCA,2,51.32,5.16,75.6,20,0,Average,8.21
SEM2_0252,Rachana Randhawa,22,Female,MCA,2,62.03,5.83,91.0,18,0,Average,7.68
SEM2_0253,Ayush Hora,22,Female,MCA,2,87.2,7.97,87.6,16,1,Average,8.69
SEM2_0254,Shivani Sanghvi,25,Female,MCA,2,80.93,8.32,69.7,18,0,Average,7.81
SEM2_0255,Lopa Agrawal,25,Female,MCA,2,75.34,7.43,71.6,16,0,Average,7.51
SEM2_0256,Tanish Jha,24,Male,MCA,2,77.33,7.45,77.8,28,0,Excellent,9.26
SEM2_0257,Arya Bhatnagar,22,Female,MCA,2,67.0,6.89,77.7,19,0,Average,8.03
SEM2_0258,Harsh Yadav,26,Male,MCA,2,78.18,8.33,90.3,13,1,Average,7.78
SEM2_0259,Rachit Pau,28,Female,MCA,2,83.56,8.84,66.6,26,3,Average,8.79
SEM2_0260,Eshana Hegde,23,Female,MCA,2,77.43,7.8,92.6,24,0,Excellent,9.11
SEM2_0261,Tanvi Comar,25,Female,MCA,2,70.28,6.42,74.4,24,0,Average,8.56
SEM2_0262,Adweta Suri,22,Female,MCA,2,62.97,6.23,73.8,20,1,Average,7.92
SEM2_0263,Dhriti Rama,28,Female,MCA,2,76.72,8.18,79.9,17,2,Average,8.2
SEM2_0264,Manya Comar,25,Male,MCA,2,68.17,6.63,61.0,18,0,Average,6.59
SEM2_0265,Ijaya Pandey,25,Female,MCA,2,70.1,7.03,77.6,18,0,Average,7.91
SEM2_0266,Tanvi Gera,22,Female,MCA,2,80.65,7.61,86.9,22,3,Average,8.41
SEM2_0267,Chameli Chad,23,Female,MCA,2,53.1,5.8,88.4,15,0,Average,7.8
SEM2_0268,Krish Munshi,25,Male,MCA,2,66.17,7.03,75.7,27,1,Excellent,8.73
