student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa,sem2_sgpa
SEM3_0019,Garima Srinivasan,27,Female,MCA,3,80.72,7.89,82.6,12,4,At-risk,7.81,7.94
SEM3_0020,Turvi Sehgal,25,Female,MCA,3,73.21,7.37,71.9,24,0,Average,8.35,8.43
SEM3_0021,Jagrati Mody,26,Female,MCA,3,72.14,7.04,79.4,16,0,Average,7.69,7.5
SEM3_0022,Vidhi Chopra,28,Female,MCA,3,75.1,7.6,93.2,23,0,Excellent,8.35,8.31
SEM3_0023,Parth Bumb,21,Female,MCA,3,79.17,7.28,74.4,18,0,Average,8.68,8.73
SEM3_0024,Avni Dey,25,Female,MCA,3,74.79,7.98,83.5,17,0,Average,8.22,8.27
SEM3_0025,Ronith Lall,22,Male,MCA,3,72.42,7.27,72.9,14,3,At-risk,7.67,8.02
SEM3_0026,Faraj Borra,28,Male,MCA,3,94.1,8.62,79.0,29,0,Excellent,9.23,8.96
SEM3_0027,Anirudh Tripathi,23,Female,MCA,3,64.0,6.65,86.8,25,2,Average,7.58,7.16
SEM3_0028,Azaan Ravel,27,Male,MCA,3,70.43,6.95,81.1,19,0,Average,7.81,8.17
SEM3_0029,Simon Bansal,23,Male,MCA,3,54.32,5.66,94.6,16,1,Average,6.69,6.17
SEM3_0030,Abha Zacharia,22,Female,MCA,3,71.17,6.76,83.8,21,0,Average,7.33,7.42
SEM3_0031,Urmi Dixit,23,Male,MCA,3,57.14,5.14,90.5,23,0,Excellent,8.92,9.25
SEM3_0032,Jasmit Ramanathan,27,Female,MCA,3,61.84,5.85,73.8,16,0,Average,6.69,6.33
SEM3_0033,Udant Mannan,28,Female,MCA,3,66.84,6.53,100.0,24,2,Average,8.25,8.41
SEM3_0034,Krish Shetty,26,Male,MCA,3,70.63,6.78,87.8,12,1,Average,7.14,6.79
SEM3_0035,Yachana Uppal,28,Female,MCA,3,64.15,6.46,81.3,23,2,Average,7.96,8.35
SEM3_0036,Gautam Ranganathan,28,Male,MCA,3,74.75,7.63,97.0,12,2,At-risk,7.51,7.25
SEM3_0037,Januja Thakkar,22,Female,MCA,3,75.62,7.13,61.6,16,3,At-risk,8.42,8.03
SEM3_0038,Advaith Khare,21,Male,MCA,3,79.39,8.43,73.8,24,0,Average,8.23,8.28
SEM3_0039,Noah Varkey,28,Female,MCA,3,83.63,8.35,57.7,22,1,Average,7.82,7.3
SEM3_0040,Logan Sehgal,21,Female,MCA,3,68.01,6.36,63.9,17,1,Average,8.17,7.71
SEM3_0041,Nathaniel Gola,26,Female,MCA,3,85.43,8.46,84.7,18,1,Excellent,9.27,9.8
SEM3_0042,Madhav Sule,22,Male,MCA,3,77.8,7.53,80.8,23,0,Average,7.33,7.34
SEM3_0043,Jagrati Baria,26,Male,MCA,3,95.0,9.49,77.9,24,1,Average,8.41,8.44
SEM3_0044,Theodore Sura,28,Male,MCA,3,75.67,7.89,70.9,14,4,At-risk,7.7,8.32
SEM3_0045,Vincent Bhatnagar,27,Male,MCA,3,80.5,8.63,70.7,10,3,At-risk,7.02,8.0
SEM3_0046,Aishani Pingle,23,Male,MCA,3,90.15,9.38,79.2,22,0,Excellent,9.08,8.48
SEM3_0047,Vivaan Basak,23,Female,MCA,3,65.03,6.04,84.3,25,0,Average,7.83,7.42
SEM3_0048,Samuel Vasa,28,Female,MCA,3,65.38,6.16,82.9,16,0,Average,7.98,8.29
SEM3_0049,Jalsa Rama,23,Female,MCA,3,71.94,7.0,79.5,14,3,At-risk,7.34,6.65
SEM3_0050,Upasna Sha,27,Male,MCA,3,79.23,7.89,61.3,20,0,Average,7.32,6.87
SEM3_0051,Chakradhar Baral,21,Female,MCA,3,72.6,7.55,87.9,8,1,Average,7.44,7.42
SEM3_0052,Ekiya Chauhan,26,Male,MCA,3,78.22,7.43,80.1,18,2,Average,7.99,7.48
SEM3_0053,Anusha Lall,23,Male,MCA,3,79.67,7.75,88.3,24,1,Average,8.45,8.66
SEM3_0054,Owen Puri,28,Female,MCA,3,46.8,4.92,90.5,9,11,At-risk,5.94,5.65
SEM3_0055,Kritika Pau,22,Male,MCA,3,79.19,7.94,89.7,13,5,At-risk,6.19,5.9
SEM3_0056,Faras Varughese,25,Female,MCA,3,86.65,8.61,78.7,24,0,Average,8.24,8.13
SEM3_0057,Zayan Puri,26,Female,MCA,3,83.88,8.11,89.4,21,0,Average,7.05,7.55
SEM3_0058,Udant Varty,21,Female,MCA,3,68.96,6.63,77.9,22,2,Average,8.82,9.28
SEM3_0059,Nidra Pandit,22,Female,MCA,3,67.14,6.88,95.5,29,0,Excellent,7.6,8.25
SEM3_0060,Hemani Sur,25,Male,MCA,3,79.79,8.24,65.0,13,7,At-risk,6.18,5.77
SEM3_0061,Vasatika Ahuja,22,Female,MCA,3,83.53,8.25,82.3,13,1,Average,7.88,8.28
SEM3_0062,Yachana Dewan,24,Male,MCA,3,81.28,8.62,93.2,19,0,Average,6.53,6.51
SEM3_0063,Ria Gandhi,24,Male,MCA,3,74.3,7.07,79.8,16,0,Average,7.23,7.19
SEM3_0064,Victor Bose,27,Female,MCA,3,61.15,5.8,58.5,29,2,Average,9.8,9.49
SEM3_0065,Yoshita Mand,24,Male,MCA,3,77.89,8.14,81.4,17,3,At-risk,7.27,7.33
SEM3_0066,Siddharth Doctor,22,Male,MCA,3,75.94,7.75,86.8,25,2,Average,8.64,8.41
SEM3_0067,Rachit Dugar,22,Male,MCA,3,83.34,8.44,79.2,19,0,Average,8.28,8.55
SEM3_0068,Janaki Dani,22,Female,MCA,3,76.51,7.94,71.2,22,1,Average,8.08,7.59
SEM3_0069,Victor Sachdeva,21,Male,MCA,3,72.48,7.17,74.9,23,0,Average,8.51,8.14
SEM3_0070,Ganga Comar,21,Female,MCA,3,63.83,6.4,81.1,14,4,At-risk,7.2,6.64
SEM3_0071,Vasatika Srinivas,27,Female,MCA,3,68.59,6.85,79.5,13,4,At-risk,7.02,7.31
SEM3_0072,Varenya Kade,21,Male,MCA,3,68.24,7.17,70.4,18,0,Average,7.33,7.15
SEM3_0073,Neel Roy,23,Female,MCA,3,74.65,7.38,90.4,21,0,Average,8.37,8.16
SEM3_0074,Anthony Kohli,24,Female,MCA,3,83.03,8.77,62.5,18,0,Average,8.12,8.11
SEM3_0075,Caleb Datta,22,Female,MCA,3,73.02,7.38,66.5,20,3,Average,8.08,9.04
SEM3_0076,Naveen Desai,28,Female,MCA,3,92.86,8.86,80.6,23,1,Average,8.42,8.51
SEM3_0077,Yauvani Baral,25,Female,MCA,3,78.44,7.67,54.6,14,1,Average,8.0,8.04
SEM3_0078,Manan Bhalla,25,Male,MCA,3,85.97,8.66,58.8,22,0,Average,8.77,8.57
SEM3_0079,Ojas Kuruvilla,22,Male,MCA,3,55.13,5.14,98.7,20,1,Average,8.67,8.78
SEM3_0080,Pranit Varughese,23,Male,MCA,3,78.07,8.14,89.5,22,0,Average,7.2,7.55
SEM3_0081,Nidra Bahl,25,Male,MCA,3,54.86,5.04,87.8,24,1,Excellent,8.32,8.43
SEM3_0082,Bhanumati Chada,27,Male,MCA,3,71.89,7.12,83.4,19,1,Average,7.36,7.47
SEM3_0083,Tarak Sen,26,Male,MCA,3,53.9,5.71,100.0,22,2,Average,8.73,8.92
SEM3_0084,Urishilla Subramaniam,28,Female,MCA,3,66.0,6.48,84.1,18,0,Average,7.51,7.45
SEM3_0085,Onkar Kanda,23,Female,MCA,3,63.02,6.41,100.0,19,1,Average,7.25,7.23
SEM3_0086,Nirja Dhar,25,Male,MCA,3,62.66,6.98,73.3,17,0,Average,8.02,8.24
SEM3_0087,Qabil Vaidya,21,Male,MCA,3,70.64,7.22,93.9,16,0,Average,7.45,7.73
SEM3_0088,Aishani Ganesh,21,Male,MCA,3,58.03,5.88,65.8,26,1,Average,7.06,7.6
SEM3_0089,Hema Setty,21,Female,MCA,3,59.14,6.13,93.7,19,0,Average,7.76,7.8
SEM3_0090,Ekapad Karpe,22,Male,MCA,3,71.93,7.53,83.8,23,1,Excellent,8.46,8.06
SEM3_0091,Kritika Rajan,27,Male,MCA,3,62.45,6.23,78.1,13,0,Average,7.66,8.02
SEM3_0092,Kevin Chopra,23,Female,MCA,3,69.52,6.74,77.4,13,4,At-risk,7.72,7.76
SEM3_0093,Amol Jain,22,Female,MCA,3,48.08,4.93,78.5,17,0,Average,7.83,7.82
SEM3_0094,Yamini Saini,25,Female,MCA,3,95.0,9.52,77.8,17,0,Average,7.29,7.6
SEM3_0095,Mason Char,21,Male,MCA,3,91.4,9.4,92.5,17,0,Average,8.69,8.68
SEM3_0096,Peter Soni,28,Male,MCA,3,74.03,7.62,91.4,23,1,Average,8.25,8.1
SEM3_0097,Balvan Wali,26,Female,MCA,3,56.12,5.31,94.9,11,0,Average,6.08,6.0
SEM3_0098,Yahvi Dalal,24,Male,MCA,3,82.88,7.93,91.7,16,0,Average,7.38,5.76
SEM3_0099,Girik Subramaniam,21,Female,MCA,3,76.57,7.38,72.4,9,1,Average,7.38,7.16
SEM3_0100,Kalpit Zacharia,24,Male,MCA,3,75.8,7.48,77.0,19,1,Average,7.43,7.93
SEM3_0101,Aarav Sankar,25,Male,MCA,3,76.3,7.2,82.7,30,0,Excellent,8.87,9.14
SEM3_0102,Osha Prabhakar,21,Female,MCA,3,74.85,7.44,54.8,20,0,Excellent,9.27,9.48
SEM3_0103,Caleb Wagle,28,Female,MCA,3,63.68,6.04,97.8,24,0,Excellent,9.18,9.47
SEM3_0104,Pushti Karnik,28,Female,MCA,3,72.92,7.28,91.5,13,4,At-risk,7.6,7.84
SEM3_0105,Vasatika Raj,26,Female,MCA,3,80.91,8.25,84.8,22,2,Average,7.88,8.02
SEM3_0106,Inaya Chaudhari,22,Male,MCA,3,56.14,6.14,85.1,23,0,Average,7.37,7.49
SEM3_0107,Pavani Desai,23,Male,MCA,3,60.33,6.46,99.7,18,0,Average,6.46,6.03
SEM3_0108,Aachal Sood,25,Female,MCA,3,74.05,7.99,100.0,21,1,Average,7.71,7.37
SEM3_0109,Viraj Chacko,22,Female,MCA,3,64.37,5.83,80.2,14,2,At-risk,6.35,6.09
SEM3_0110,Bhanumati Rege,26,Female,MCA,3,77.86,7.22,92.9,23,0,Excellent,7.78,8.89
SEM3_0111,Aarini Gulati,27,Male,MCA,3,73.35,6.42,93.3,16,0,Average,7.95,7.87
SEM3_0112,Abdul Amble,21,Male,MCA,3,82.86,8.78,71.9,25,0,Average,7.64,7.81
SEM3_0113,Jacob Venkatesh,28,Female,MCA,3,65.16,5.88,90.6,17,1,Average,8.35,8.76
SEM3_0114,Abhimanyu Prashad,24,Male,MCA,3,90.58,8.58,83.2,25,1,Average,8.0,8.03
SEM3_0115,Samesh Mutti,26,Male,MCA,3,65.87,6.47,94.5,14,4,At-risk,7.05,6.78
SEM3_0116,Nilima Pathak,24,Female,MCA,3,79.83,8.32,78.7,24,0,Average,7.27,7.88
SEM3_0117,Hredhaan Dubey,22,Female,MCA,3,73.03,7.08,68.9,26,1,Average,8.08,7.82
SEM3_0118,Pooja Kulkarni,21,Female,MCA,3,60.83,5.99,82.8,29,0,Excellent,8.48,8.34
SEM3_0119,Advika Wason,26,Female,MCA,3,63.46,6.74,83.1,17,0,Average,7.1,6.62
SEM3_0120,Pallavi Pau,27,Male,MCA,3,83.4,8.24,74.5,16,0,Average,7.95,7.86
SEM3_0121,Anya Ranganathan,24,Male,MCA,3,67.72,7.47,75.6,16,0,Average,7.07,7.44
SEM3_0122,Samar Sachdev,28,Female,MCA,3,74.44,7.13,80.3,15,2,Average,7.82,8.26
SEM3_0123,Vasudha Gola,23,Female,MCA,3,90.78,9.23,88.2,16,0,Average,7.49,7.39
SEM3_0124,Kamala Sule,25,Female,MCA,3,68.37,6.46,81.6,21,0,Average,6.68,7.07
SEM3_0125,Zehaan Mohanty,28,Male,MCA,3,85.36,8.61,58.6,22,2,Average,8.05,7.99
SEM3_0126,Hemangini Rao,22,Male,MCA,3,73.06,6.63,74.3,19,1,Average,7.3,7.97
SEM3_0127,Lakshit Dani,23,Female,MCA,3,66.05,6.99,71.7,16,0,Average,7.9,7.92
SEM3_0128,Victor Sekhon,21,Male,MCA,3,66.37,6.91,58.9,17,1,Average,8.42,8.84
SEM3_0129,Neel Chaudhry,28,Female,MCA,3,66.6,7.04,86.2,25,0,Average,7.4,6.95
SEM3_0130,Tanish Trivedi,24,Male,MCA,3,67.9,6.71,59.1,20,0,Excellent,8.99,9.13
SEM3_0131,Nandini Nigam,23,Male,MCA,3,64.35,6.6,81.2,17,0,Average,7.02,7.14
SEM3_0132,Charles Dyal,27,Female,MCA,3,89.38,8.61,80.4,24,0,Excellent,9.67,9.39
SEM3_0133,Lopa Ahluwalia,27,Male,MCA,3,77.17,7.64,98.8,22,0,Average,7.77,7.38
SEM3_0134,Gavin Dhillon,27,Female,MCA,3,59.87,6.67,88.4,15,0,Average,6.55,6.35
SEM3_0135,Urishilla Saran,21,Female,MCA,3,87.32,8.62,75.2,17,2,Average,8.38,8.73
SEM3_0136,Gaurang Bhatt,23,Male,MCA,3,69.7,6.66,78.6,16,0,Average,8.29,8.44
SEM3_0137,Adya Kapadia,27,Male,MCA,3,65.04,6.42,92.1,19,1,Average,8.42,8.04
SEM3_0138,Kamala Buch,27,Male,MCA,3,77.89,7.09,80.6,20,3,At-risk,7.85,7.87
SEM3_0139,Baljiwan Rajagopalan,28,Male,MCA,3,70.58,7.19,87.9,22,0,Average,8.39,8.26
SEM3_0140,Nandini Verma,21,Female,MCA,3,67.82,6.84,86.9,26,1,Excellent,8.87,8.75
SEM3_0141,Bhavini Bhandari,24,Male,MCA,3,90.64,8.96,74.0,25,0,Average,7.84,8.04
SEM3_0142,Parth Talwar,24,Female,MCA,3,65.44,6.52,84.6,23,0,Average,7.81,7.78
SEM3_0143,Reva Anne,24,Female,MCA,3,76.64,7.34,80.0,12,3,At-risk,7.32,7.92
SEM3_0144,Saksham Vasa,26,Female,MCA,3,63.73,6.13,68.1,19,2,Average,7.36,7.33
SEM3_0145,Bhavika Hayer,27,Male,MCA,3,72.85,6.8,77.0,21,1,Average,7.85,7.33
SEM3_0146,Bahadurjit Uppal,28,Male,MCA,3,72.41,7.6,70.8,30,0,Excellent,8.72,8.58
SEM3_0147,Zaitra Kata,28,Male,MCA,3,72.21,7.64,57.4,19,1,Average,8.78,9.37
SEM3_0148,Omkaar Banik,25,Female,MCA,3,75.14,7.8,88.0,21,1,Average,9.4,8.8
SEM3_0149,Jagvi Khare,26,Female,MCA,3,82.53,8.64,68.9,19,0,Average,7.3,7.0
SEM3_0150,Aadi Dugar,22,Female,MCA,3,78.54,8.18,92.2,16,1,Average,8.17,7.84
SEM3_0151,Gabriel Majumdar,23,Male,MCA,3,62.74,5.84,70.6,21,1,Average,6.99,7.38
SEM3_0152,Mugdha Pandit,22,Male,MCA,3,72.59,6.73,96.5,23,0,Excellent,9.1,9.02
SEM3_0153,Megha Ravi,27,Female,MCA,3,62.0,6.91,85.8,20,3,At-risk,7.52,7.53
SEM3_0154,Sai Vasa,21,Female,MCA,3,74.27,7.73,89.9,22,1,Average,7.15,7.61
SEM3_0155,Alexander Biswas,28,Female,MCA,3,71.45,7.64,91.2,18,0,Average,6.86,6.84
SEM3_0156,Gautam Mane,26,Male,MCA,3,84.57,8.65,92.6,22,0,Excellent,8.79,8.74
SEM3_0157,Ijaya Palan,23,Male,MCA,3,94.59,9.74,79.1,21,0,Excellent,8.36,8.74
SEM3_0158,Aradhana Kara,26,Male,MCA,3,72.07,7.56,86.3,23,0,Average,7.74,7.85
SEM3_0159,Robert Sha,21,Male,MCA,3,79.27,7.21,90.2,26,2,Average,6.84,7.28
SEM3_0160,Netra Agrawal,22,Male,MCA,3,63.62,6.71,76.0,26,1,Average,7.7,6.65
SEM3_0161,Advika Gill,21,Male,MCA,3,84.93,8.44,83.0,29,1,Excellent,8.83,8.77
SEM3_0162,Niharika Toor,24,Male,MCA,3,81.97,8.55,80.0,11,3,At-risk,7.15,7.48
SEM3_0163,Hredhaan Bora,24,Male,MCA,3,61.31,5.98,62.1,22,0,Average,8.11,7.84
SEM3_0164,Yahvi Menon,26,Female,MCA,3,56.06,4.95,72.4,21,1,Average,7.98,8.42
SEM3_0165,Harini Dada,27,Female,MCA,3,78.96,8.17,62.2,23,1,Average,7.75,8.09
SEM3_0166,Yochana Kurian,23,Male,MCA,3,85.16,8.61,75.6,22,1,Average,8.73,9.12
SEM3_0167,Zashil Savant,21,Female,MCA,3,89.26,9.18,80.1,22,0,Excellent,8.21,8.64
SEM3_0168,Krishna Sule,25,Male,MCA,3,83.71,8.31,79.0,16,0,Average,7.74,7.53
SEM3_0169,Yagnesh Nori,28,Male,MCA,3,67.65,6.16,83.0,23,2,Average,9.09,9.49
SEM3_0170,Tara Sharma,25,Female,MCA,3,74.96,7.71,76.4,24,0,Excellent,8.4,8.1
SEM3_0171,Ayaan Subramaniam,28,Male,MCA,3,91.58,9.46,83.4,22,3,At-risk,8.48,8.48
SEM3_0172,Jackson Kuruvilla,23,Female,MCA,3,62.85,6.04,62.0,23,0,Average,6.98,6.84
SEM3_0173,Ekansh Raja,27,Female,MCA,3,68.1,6.79,93.2,15,1,Average,8.61,8.18
SEM3_0174,Thomas Karpe,25,Female,MCA,3,77.29,7.63,75.1,17,0,Average,7.64,8.85
SEM3_0175,Diya Sachar,27,Female,MCA,3,87.19,8.58,85.3,25,0,Excellent,9.52,9.5
SEM3_0176,Ira Varty,26,Male,MCA,3,66.64,7.33,71.5,22,0,Excellent,7.61,8.41
SEM3_0177,Aditya Lall,27,Female,MCA,3,69.44,6.75,81.7,24,0,Excellent,8.59,9.04
SEM3_0178,Yuvraj Mani,23,Male,MCA,3,76.03,7.57,80.1,8,1,Average,7.27,7.28
SEM3_0179,Girik Rastogi,23,Female,MCA,3,70.87,6.74,80.0,20,0,Average,8.74,9.11
SEM3_0180,Hema Borra,25,Male,MCA,3,70.35,7.98,58.2,20,2,Average,7.15,6.54
SEM3_0181,Pranav Soni,28,Male,MCA,3,64.48,6.83,75.2,13,2,Average,7.13,7.17
SEM3_0182,Dipta Pandya,28,Female,MCA,3,68.83,6.53,89.6,19,2,Average,7.98,8.41
SEM3_0183,Tejas Luthra,22,Male,MCA,3,63.16,6.26,78.6,20,0,Average,7.85,8.28
SEM3_0184,Qadim Gupta,24,Female,MCA,3,63.54,6.19,92.4,21,0,Excellent,7.85,8.17
SEM3_0185,Wishi Iyengar,28,Male,MCA,3,80.2,8.35,73.1,19,2,Average,7.35,6.98
SEM3_0186,Wahab Khurana,22,Female,MCA,3,73.35,6.97,86.3,15,2,Average,7.8,7.33
SEM3_0187,Alka Jhaveri,26,Male,MCA,3,62.4,5.66,85.6,29,0,Excellent,7.98,8.31
SEM3_0188,Veer Jain,26,Female,MCA,3,72.16,6.64,63.5,16,1,Average,7.23,6.8
SEM3_0189,Zaid Parekh,21,Male,MCA,3,82.4,8.38,78.8,25,0,Average,7.9,7.73
SEM3_0190,Nachiket Chhabra,21,Male,MCA,3,51.25,5.32,81.8,20,2,Average,8.39,8.69
SEM3_0191,Jagdish Brar,25,Female,MCA,3,78.65,8.14,76.3,18,1,Average,6.87,7.05
SEM3_0192,Waida Ahuja,24,Female,MCA,3,64.34,6.55,68.6,17,3,At-risk,6.33,6.15
SEM3_0193,Brijesh Subramaniam,24,Female,MCA,3,47.85,4.79,57.7,24,0,Average,7.45,6.6
SEM3_0194,Kamya Murty,23,Female,MCA,3,73.97,7.64,81.6,22,0,Average,8.11,8.25
SEM3_0195,Waida Maharaj,25,Female,MCA,3,81.17,7.59,86.0,29,2,Average,8.77,8.58
SEM3_0196,Vritti Goswami,27,Male,MCA,3,73.92,7.07,69.6,18,0,Average,7.63,7.29
SEM3_0197,Yasti Mammen,26,Male,MCA,3,77.93,8.01,79.4,19,0,Average,8.2,8.2
SEM3_0198,Mitali Kapadia,23,Female,MCA,3,60.53,6.08,78.3,26,0,Excellent,8.41,8.42
SEM3_0199,Kabir Bhagat,28,Male,MCA,3,54.77,5.59,74.7,15,0,Average,6.51,6.07
SEM3_0200,Pallavi Sridhar,25,Female,MCA,3,67.91,6.78,82.6,24,2,Average,9.01,8.52
SEM3_0201,Bachittar Thakkar,28,Female,MCA,3,61.42,6.28,71.6,17,3,At-risk,5.36,5.99
SEM3_0202,Idika Ramesh,24,Female,MCA,3,75.84,7.48,89.6,23,0,Excellent,8.71,9.03
SEM3_0203,Owen Shankar,26,Male,MCA,3,73.39,7.47,97.8,20,0,Excellent,8.77,8.35
SEM3_0204,Jai Vasa,22,Male,MCA,3,64.83,6.37,86.9,21,0,Excellent,7.72,8.38
SEM3_0205,Triveni Mutti,27,Female,MCA,3,70.74,6.92,78.2,19,0,Average,7.46,7.76
SEM3_0206,Abhiram Arora,28,Female,MCA,3,67.12,6.19,59.2,11,0,At-risk,6.52,6.52
SEM3_0207,Shivansh Raghavan,21,Male,MCA,3,59.1,6.14,83.8,23,0,Excellent,8.34,9.0
SEM3_0208,Harrison Nanda,22,Male,MCA,3,71.24,7.29,86.2,24,2,Average,7.81,7.5
SEM3_0209,Janaki Lad,26,Female,MCA,3,73.79,7.83,73.4,14,3,At-risk,7.65,7.12
SEM3_0210,Rachit Lall,26,Female,MCA,3,83.43,8.08,77.9,13,0,Average,8.05,8.32
SEM3_0211,Warjas Luthra,28,Male,MCA,3,74.68,7.84,82.9,23,0,Excellent,8.28,8.45
SEM3_0212,Urishilla Oza,25,Female,MCA,3,71.45,7.35,86.2,23,3,Average,7.55,8.06
SEM3_0213,Jasmit Gour,23,Male,MCA,3,83.97,8.26,84.8,23,0,Excellent,8.26,8.2
SEM3_0214,Wishi Samra,22,Female,MCA,3,78.95,7.49,64.7,16,1,Average,8.28,7.49
SEM3_0215,Shivansh Saini,23,Female,MCA,3,87.13,8.78,63.4,23,2,Average,8.68,8.73
SEM3_0216,Kashish Patla,24,Female,MCA,3,73.34,7.48,50.6,13,3,At-risk,5.94,6.1
SEM3_0217,Nandini Mammen,28,Female,MCA,3,67.74,6.8,82.4,17,1,Average,8.44,7.64
SEM3_0218,Shravya Gole,23,Female,MCA,3,56.02,5.65,78.8,26,0,Excellent,8.23,8.13
SEM3_0219,Karan Karnik,23,Male,MCA,3,75.73,7.4,83.8,22,0,Average,7.92,8.19
SEM3_0220,Harish Madan,24,Female,MCA,3,74.81,7.8,76.7,18,1,Average,7.42,7.42
SEM3_0221,Warinder Sankaran,24,Female,MCA,3,66.33,6.41,81.3,21,1,Average,6.59,6.65
SEM3_0222,Lakshmi Hayre,27,Female,MCA,3,68.44,6.97,80.6,16,2,Average,8.28,8.3
SEM3_0223,Madhav Doctor,21,Male,MCA,3,68.71,7.08,92.2,12,0,Average,7.29,6.92
SEM3_0224,Urvashi Andra,22,Male,MCA,3,74.04,7.74,66.2,19,1,Average,7.57,7.11
SEM3_0225,Patrick Sama,28,Male,MCA,3,89.52,8.27,81.4,24,0,Average,8.19,7.79
SEM3_0226,Xalak Desai,24,Male,MCA,3,86.73,7.92,75.9,15,1,Average,8.4,7.88
SEM3_0227,Zansi Walla,27,Male,MCA,3,80.79,8.24,87.3,22,1,Average,7.77,8.37
SEM3_0228,Diya Sur,27,Male,MCA,3,86.61,8.69,87.8,17,1,Average,8.33,7.3
SEM3_0229,Charita Krishna,23,Male,MCA,3,62.8,6.34,84.5,14,1,Average,7.91,7.94
SEM3_0230,Champak Rao,24,Male,MCA,3,65.87,6.46,81.2,30,1,Excellent,8.25,8.71
SEM3_0231,Hardik Gade,27,Female,MCA,3,71.21,7.57,73.7,18,2,Average,8.81,9.28
SEM3_0232,Darpan Kale,22,Female,MCA,3,63.13,6.71,92.5,15,0,Average,7.06,6.91
SEM3_0233,Aachal Soni,27,Female,MCA,3,62.25,6.63,92.1,16,0,Average,7.8,7.71
SEM3_0234,Gopal Sengupta,21,Female,MCA,3,66.86,6.54,75.2,28,0,Excellent,8.38,8.71
SEM3_0235,Gaurika Lad,21,Male,MCA,3,71.82,7.31,84.9,12,4,At-risk,7.23,7.32
SEM3_0236,Jalsa Parsa,22,Female,MCA,3,79.76,8.19,86.7,11,4,At-risk,7.47,7.37
SEM3_0237,Aarini Padmanabhan,24,Female,MCA,3,82.83,8.75,71.2,19,0,Average,7.99,8.3
SEM3_0238,Anmol Sabharwal,21,Male,MCA,3,69.34,6.68,72.1,20,0,Average,8.49,8.58
SEM3_0239,Jairaj Panchal,22,Female,MCA,3,61.02,6.19,78.4,11,2,At-risk,6.36,6.64
SEM3_0240,Rushil Yohannan,26,Male,MCA,3,71.71,7.75,93.0,15,0,Average,7.54,7.86
SEM3_0241,Owen Mane,25,Female,MCA,3,70.96,7.01,76.2,19,0,Average,7.96,7.87
SEM3_0242,Isha Nair,28,Male,MCA,3,67.02,6.65,85.3,14,3,At-risk,7.91,7.0
SEM3_0243,Yashvi Sura,26,Male,MCA,3,60.04,5.86,91.7,22,0,Excellent,8.99,9.5
SEM3_0244,Sanya Brar,24,Male,MCA,3,71.77,6.68,57.1,30,0,Excellent,8.64,8.25
SEM3_0245,Lakshmi Mangat,26,Male,MCA,3,73.89,7.36,74.7,17,0,Average,8.52,8.56
SEM3_0246,Ubika Dhillon,28,Male,MCA,3,57.08,5.55,53.2,13,3,At-risk,7.3,6.94
SEM3_0247,Oliver Nazareth,25,Male,MCA,3,75.32,7.76,83.0,23,0,Excellent,8.31,8.9
SEM3_0248,Oviya Ravel,28,Male,MCA,3,65.91,6.11,76.1,30,0,Excellent,8.87,8.76
