student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa,sem2_sgpa,sem3_sgpa
SEM4_0076,Ojas Dyal,28,Male,MCA,4,58.38,5.74,76.0,19,0,Average,7.59,7.66,7.52
SEM4_0077,Bhavika Gopal,25,Male,MCA,4,67.52,6.76,79.0,18,0,Average,7.52,7.57,7.19
SEM4_0078,Parth Dube,24,Male,MCA,4,84.24,8.5,79.6,18,2,Average,7.48,7.89,7.84
SEM4_0079,Neel Khanna,24,Male,MCA,4,95.0,9.57,77.0,16,1,Average,7.35,7.41,7.72
SEM4_0080,Jackson Barman,25,Male,MCA,4,66.6,6.49,69.5,16,1,Average,7.04,7.12,6.77
SEM4_0081,Edhitha Date,28,Male,MCA,4,65.11,5.93,85.2,10,1,Average,7.24,7.45,7.52
SEM4_0082,Ridhi Lad,27,Female,MCA,4,77.24,8.48,81.7,9,0,Average,6.58,6.81,7.1
SEM4_0083,Kala Gour,24,Female,MCA,4,75.18,7.26,79.6,14,2,At-risk,6.72,7.13,7.02
SEM4_0084,Samesh Banerjee,27,Male,MCA,4,77.73,8.23,80.0,21,1,Excellent,8.46,8.08,8.87
SEM4_0085,Edhitha Padmanabhan,26,Female,MCA,4,68.56,6.93,75.8,23,0,Excellent,8.08,8.24,8.85
SEM4_0086,Manbir Pradhan,26,Female,MCA,4,70.44,7.11,57.6,26,0,Excellent,8.51,8.54,8.76
SEM4_0087,Saumya Zacharia,25,Male,MCA,4,52.36,5.31,71.4,15,1,Average,7.52,7.31,6.93
SEM4_0088,Nicholas Walla,21,Male,MCA,4,80.01,7.79,65.3,21,1,Average,8.32,8.27,8.14
SEM4_0089,Charvi Dara,27,Female,MCA,4,54.88,5.73,64.7,23,2,Average,7.24,6.62,6.36
SEM4_0090,Aryan Ravel,21,Female,MCA,4,73.24,7.32,95.8,18,1,Average,8.67,9.04,9.43
SEM4_0091,Xalak Dhillon,21,Male,MCA,4,77.55,7.58,80.0,27,0,Excellent,9.09,9.35,9.06
SEM4_0092,Tara Nagarajan,24,Female,MCA,4,66.06,6.99,72.0,17,2,Average,7.46,7.53,7.27
SEM4_0093,Nachiket Agrawal,21,Male,MCA,4,67.9,6.61,61.0,20,3,Average,9.07,9.42,9.8
SEM4_0094,Yashica Narula,28,Female,MCA,4,74.69,7.06,82.4,9,6,At-risk,5.58,5.74,5.64
SEM4_0095,Chakrika Som,21,Male,MCA,4,83.45,7.85,80.1,13,4,At-risk,7.06,7.85,8.14
SEM4_0096,Bimala Din,23,Female,MCA,4,73.21,7.52,86.7,25,0,Excellent,8.07,7.91,8.34
SEM4_0097,Riya Nigam,26,Female,MCA,4,80.14,7.97,83.4,28,0,Excellent,8.41,8.35,8.39
SEM4_0098,Isaiah Srinivas,24,Female,MCA,4,63.24,6.51,74.7,20,0,Average,8.67,8.5,7.47
SEM4_0099,Banjeet Dewan,26,Male,MCA,4,72.81,7.39,83.3,23,0,Average,8.07,7.59,7.57
SEM4_0100,Jackson Morar,21,Male,MCA,4,59.26,5.61,79.2,17,0,Average,7.84,7.06,7.34
SEM4_0101,Aryan Ratti,26,Male,MCA,4,85.37,8.71,68.4,22,1,Excellent,8.69,9.42,9.78
SEM4_0102,Thomas Sehgal,22,Female,MCA,4,80.48,8.38,83.1,21,0,Excellent,7.95,8.23,7.97
SEM4_0103,Ishanvi Chanda,28,Male,MCA,4,52.6,5.16,75.4,24,1,Average,7.48,6.77,6.81
SEM4_0104,Eta Bhakta,28,Male,MCA,4,89.61,9.8,85.5,21,3,Average,8.06,7.92,8.35
SEM4_0105,Robert Vyas,23,Female,MCA,4,77.86,7.72,100.0,21,0,Excellent,7.88,7.99,8.34
SEM4_0106,Tristan Mall,24,Male,MCA,4,71.5,7.85,73.1,12,2,At-risk,6.88,6.54,6.42
SEM4_0107,Rohan Bajaj,28,Male,MCA,4,63.14,6.18,79.7,18,1,Average,7.71,7.15,7.06
SEM4_0108,Fiyaz Yohannan,24,Male,MCA,4,76.55,7.55,77.1,16,2,Average,8.21,7.94,8.14
SEM4_0109,Sanaya Chahal,27,Male,MCA,4,72.73,7.18,75.2,19,0,Average,7.46,7.68,7.5
SEM4_0110,Yauvani Ramesh,22,Female,MCA,4,71.27,6.86,75.7,15,3,Average,8.18,8.78,8.64
SEM4_0111,Robert Swaminathan,28,Female,MCA,4,71.31,7.23,78.7,20,1,Average,8.2,8.37,8.03
SEM4_0112,Eesha Vaidya,25,Female,MCA,4,86.31,8.28,65.1,28,0,Average,6.75,7.07,7.15
SEM4_0113,Daksh Patel,22,Female,MCA,4,76.21,7.26,79.5,19,4,At-risk,6.65,5.44,5.9
SEM4_0114,Mitali Divan,24,Male,MCA,4,79.41,7.85,91.6,20,0,Excellent,8.82,8.5,8.85
SEM4_0115,Prisha Pingle,25,Female,MCA,4,64.89,6.74,83.0,29,1,Excellent,8.96,9.08,9.2
SEM4_0116,Libni Pradhan,25,Male,MCA,4,58.06,5.48,73.3,26,0,Excellent,8.52,8.82,8.84
SEM4_0117,Advik Mane,22,Male,MCA,4,76.15,7.5,81.5,21,0,Average,7.94,7.76,7.97
SEM4_0118,Hemani Panchal,26,Female,MCA,4,57.48,5.42,97.0,21,0,Average,7.49,7.29,8.09
SEM4_0119,Darika Sehgal,27,Female,MCA,4,58.79,5.91,81.6,14,0,Average,7.45,7.77,7.87
SEM4_0120,Gagan Kale,21,Male,MCA,4,63.77,5.7,84.9,16,1,Average,7.3,6.85,6.85
SEM4_0121,Sachi Sagar,21,Female,MCA,4,84.83,8.83,91.8,22,1,Average,8.02,8.55,8.64
SEM4_0122,Saanvi Mani,24,Male,MCA,4,62.29,6.04,84.2,19,0,Average,7.46,6.94,7.21
SEM4_0123,Nihal Samra,23,Male,MCA,4,65.5,6.78,80.6,20,0,Average,7.36,7.4,8.34
SEM4_0124,Oeshi Dewan,22,Male,MCA,4,56.44,5.79,94.6,20,2,Average,6.77,8.0,7.63
SEM4_0125,Gabriel Dhawan,25,Female,MCA,4,75.27,7.38,91.2,22,0,Excellent,8.09,7.76,8.5
SEM4_0126,Sarthak Mitter,22,Female,MCA,4,71.76,7.08,68.4,15,3,At-risk,7.4,7.18,7.51
SEM4_0127,Vaishnavi Vohra,26,Female,MCA,4,67.75,7.05,89.6,19,1,Average,7.94,7.88,7.42
SEM4_0128,Gautami Bhatti,26,Female,MCA,4,88.3,8.82,87.8,24,0,Excellent,9.25,9.18,9.22
SEM4_0129,Keya Chakrabarti,24,Male,MCA,4,76.89,8.12,83.0,19,1,Average,7.84,7.64,7.58
SEM4_0130,Abeer Rout,26,Female,MCA,4,90.35,8.95,84.5,23,0,Excellent,8.17,9.08,9.6
SEM4_0131,Anjali Sachdeva,22,Male,MCA,4,59.09,5.86,81.6,28,1,Excellent,9.8,9.8,9.67
SEM4_0132,Parth Shere,27,Female,MCA,4,75.05,7.83,81.2,19,0,Average,7.62,8.69,9.0
SEM4_0133,Laksh Iyengar,22,Female,MCA,4,70.49,7.1,71.7,12,3,At-risk,6.76,6.62,6.05
SEM4_0134,Quincy Raj,21,Male,MCA,4,79.59,7.98,72.0,17,2,Average,8.21,8.1,7.2
SEM4_0135,Bimala Swaminathan,22,Female,MCA,4,84.33,8.38,83.5,21,0,Excellent,8.57,8.92,9.31
SEM4_0136,Brijesh Mittal,22,Female,MCA,4,91.56,9.4,86.1,21,3,Average,8.54,8.65,8.96
SEM4_0137,Daksha Tak,24,Male,MCA,4,63.29,6.36,71.4,26,0,Excellent,7.8,7.46,8.31
SEM4_0138,Ubika Kapur,28,Female,MCA,4,78.56,8.31,85.3,30,0,Excellent,9.39,9.79,9.8
SEM4_0139,Avi Agate,26,Male,MCA,4,63.99,5.87,74.9,21,2,Average,7.95,7.98,7.79
SEM4_0140,Mitesh Lala,25,Male,MCA,4,68.61,6.81,80.1,24,0,Average,7.57,7.42,7.13
SEM4_0141,Charita Sodhi,26,Male,MCA,4,95.0,9.17,63.5,23,0,Excellent,8.55,8.23,8.23
SEM4_0142,Jeet Mani,27,Male,MCA,4,76.35,7.67,93.1,17,0,Excellent,8.49,8.1,8.99
SEM4_0143,Omisha Gola,25,Female,MCA,4,62.92,6.47,84.2,20,1,Average,8.26,8.04,7.91
SEM4_0144,Vyanjana Konda,23,Male,MCA,4,78.14,6.94,79.3,27,0,Excellent,7.78,8.01,8.01
SEM4_0145,Ayush Dar,21,Female,MCA,4,72.3,7.3,92.4,24,0,Average,8.16,7.87,7.65
SEM4_0146,Aradhana Tailor,26,Female,MCA,4,64.79,6.74,74.1,15,1,Average,7.07,7.04,6.14
SEM4_0147,Ekalinga Pathak,23,Female,MCA,4,69.26,6.99,70.9,23,0,Average,8.24,7.72,8.26
SEM4_0148,Vasana Sarin,28,Male,MCA,4,56.42,5.44,79.5,16,0,Average,6.64,6.6,6.32
SEM4_0149,Aarna Soni,27,Female,MCA,4,74.28,7.03,69.7,17,0,Average,6.96,6.16,6.44
SEM4_0150,Jagdish Prakash,21,Female,MCA,4,89.12,8.72,91.1,8,1,Average,8.0,7.75,8.08
SEM4_0151,Yauvani Badal,24,Female,MCA,4,83.25,8.1,86.4,18,1,Average,8.12,8.56,8.24
SEM4_0152,Aashi Gaba,24,Female,MCA,4,72.81,6.74,70.0,20,1,Average,7.92,8.57,8.72
SEM4_0153,Dalbir Dhingra,24,Female,MCA,4,72.71,7.09,92.2,22,2,Average,8.21,7.65,6.42
SEM4_0154,Ekaja Shenoy,24,Female,MCA,4,63.26,6.64,67.3,23,0,Average,8.3,7.52,7.53
SEM4_0155,Krishna Parikh,21,Female,MCA,4,70.2,7.49,91.5,20,1,Average,8.07,8.04,7.79
SEM4_0156,Nihal Bera,24,Female,MCA,4,59.57,6.17,73.4,18,1,Average,6.6,6.91,7.22
SEM4_0157,Anjali Patel,23,Female,MCA,4,61.37,6.05,75.7,15,1,Average,6.34,6.71,7.07
SEM4_0158,Oni Parekh,25,Female,MCA,4,86.18,8.56,86.3,26,0,Excellent,8.91,8.13,8.66
SEM4_0159,Chanakya Mann,21,Female,MCA,4,57.13,5.23,77.1,27,2,Average,7.41,7.79,7.85
SEM4_0160,Bishakha Wagle,23,Female,MCA,4,59.65,6.47,57.7,26,1,Average,7.79,7.42,8.18
SEM4_0161,Faraj Varkey,28,Male,MCA,4,64.44,6.46,72.7,13,2,Average,7.39,7.36,7.32
SEM4_0162,Rishi Goswami,26,Female,MCA,4,60.31,5.28,89.5,20,0,Average,8.13,8.61,8.01
SEM4_0163,Girindra Ganesh,24,Male,MCA,4,60.26,6.09,66.5,24,1,Average,8.04,8.09,7.61
SEM4_0164,Ekantika Mutti,27,Male,MCA,4,75.05,6.92,73.9,23,0,Excellent,8.92,8.49,9.13
SEM4_0165,Charvi Madan,23,Female,MCA,4,73.94,7.36,94.1,21,1,Excellent,8.65,8.94,9.06
SEM4_0166,Janani Char,24,Male,MCA,4,68.32,6.7,82.1,16,1,Average,8.24,7.71,8.24
SEM4_0167,Indira Dhawan,26,Female,MCA,4,87.91,8.74,88.4,17,1,Excellent,8.83,9.8,9.67
SEM4_0168,Agastya Devan,26,Male,MCA,4,73.14,7.42,72.5,20,0,Average,7.62,7.39,7.08
SEM4_0169,Zarna Manda,23,Male,MCA,4,92.52,9.54,83.2,24,1,Average,8.27,8.24,8.11
SEM4_0170,Kashish Sundaram,25,Female,MCA,4,86.75,8.66,66.6,28,0,Excellent,8.72,8.97,8.01
SEM4_0171,Nisha Oak,25,Female,MCA,4,86.12,8.64,83.0,18,1,Average,7.42,7.33,7.47
SEM4_0172,Nicholas Chaudry,26,Male,MCA,4,75.67,7.69,88.6,20,0,Average,8.46,8.37,7.72
SEM4_0173,Tejas Dubey,21,Female,MCA,4,71.79,6.7,62.5,14,0,Average,6.86,6.75,6.65
SEM4_0174,Yahvi Kant,21,Female,MCA,4,56.22,5.47,65.1,25,0,Average,7.42,7.62,7.6
SEM4_0175,Raghav Vora,23,Male,MCA,4,71.06,7.85,83.9,19,1,Excellent,8.85,9.78,9.44
SEM4_0176,Ishaan Sahni,24,Male,MCA,4,65.19,6.53,65.2,13,4,At-risk,6.88,6.12,5.81
SEM4_0177,Triveni Bose,25,Male,MCA,4,79.43,8.3,88.8,22,3,Average,8.07,8.15,7.93
SEM4_0178,Jackson Deep,22,Male,MCA,4,63.75,6.81,84.9,14,1,Average,6.29,7.01,6.61
SEM4_0179,Anay Srinivasan,22,Male,MCA,4,78.67,7.58,83.5,16,1,Average,8.13,7.12,6.79
SEM4_0180,Ijaya Muni,22,Male,MCA,4,77.23,7.66,90.0,23,0,Excellent,8.34,8.51,8.33
SEM4_0181,Janani Dewan,22,Male,MCA,4,77.92,8.09,92.0,18,1,Average,8.18,8.16,8.46
SEM4_0182,Riya Virk,21,Female,MCA,4,70.47,6.76,67.2,18,0,Average,7.09,7.54,7.55
SEM4_0183,Hema Gera,26,Male,MCA,4,72.94,7.01,77.7,23,0,Excellent,8.03,7.97,8.77
SEM4_0184,Daksha Balakrishnan,22,Female,MCA,4,82.57,8.43,86.4,17,0,Excellent,8.45,8.57,9.46
SEM4_0185,Jagat Kapadia,26,Female,MCA,4,76.73,7.99,74.6,18,0,Excellent,8.59,9.26,9.64
SEM4_0186,Kabir Dhar,27,Male,MCA,4,87.06,8.58,88.6,11,3,At-risk,8.66,8.46,8.4
SEM4_0187,Utkarsh Mohanty,27,Female,MCA,4,71.92,7.31,78.4,17,0,Average,7.35,6.82,6.31
SEM4_0188,Jeremiah Kadakia,26,Male,MCA,4,66.82,7.27,86.3,15,0,Average,8.48,8.53,8.53
SEM4_0189,Kalpit Brar,26,Male,MCA,4,83.08,8.94,83.0,18,0,Average,7.87,7.79,8.21
SEM4_0190,Pavani Choudhury,23,Female,MCA,4,70.12,7.01,100.0,18,3,At-risk,8.13,7.75,8.03
SEM4_0191,Faras Bahl,28,Male,MCA,4,73.42,7.57,95.7,20,0,Average,7.4,7.52,7.06
SEM4_0192,Veda Sankar,24,Male,MCA,4,69.21,6.88,68.4,16,1,Average,7.07,7.41,7.87
SEM4_0193,Brijesh Hegde,26,Female,MCA,4,56.92,6.01,60.6,8,2,Average,7.14,7.0,7.09
SEM4_0194,Hritik Bali,26,Female,MCA,4,61.18,6.66,74.1,22,0,Average,7.39,7.56,7.89
SEM4_0195,Yochana Bhargava,21,Female,MCA,4,51.31,5.15,75.2,17,3,At-risk,7.81,7.36,7.22
SEM4_0196,Upasna Dani,28,Female,MCA,4,51.23,4.71,95.7,30,0,Excellent,8.85,8.43,7.69
SEM4_0197,Zehaan Bassi,28,Male,MCA,4,59.52,6.23,75.6,23,0,Excellent,8.01,7.69,8.34
SEM4_0198,Dominic Mitra,26,Female,MCA,4,73.38,6.89,98.2,20,1,Excellent,8.02,8.71,9.21
SEM4_0199,Advaith Char,24,Male,MCA,4,74.94,7.61,64.5,15,4,At-risk,8.13,8.2,8.24
SEM4_0200,Jatin Jha,23,Male,MCA,4,73.57,7.1,84.5,20,1,Average,8.34,7.37,7.0
SEM4_0201,Ryan Goyal,28,Male,MCA,4,73.79,6.82,90.9,27,0,Excellent,8.73,9.06,9.08
SEM4_0202,Indali Balakrishnan,26,Female,MCA,4,82.3,8.01,94.6,22,0,Average,7.87,7.98,7.89
SEM4_0203,Gautam Dhingra,22,Female,MCA,4,67.79,6.91,80.3,14,3,At-risk,7.44,7.54,7.77
SEM4_0204,Arunima Pall,26,Male,MCA,4,68.69,7.05,73.9,19,0,Excellent,8.33,8.35,9.06
SEM4_0205,Indira Dyal,26,Male,MCA,4,83.35,8.51,78.7,22,0,Average,7.78,7.95,7.7
SEM4_0206,Xiti Khurana,25,Female,MCA,4,67.49,6.9,76.1,17,0,Average,6.69,6.33,6.42
SEM4_0207,Yashasvi Bir,22,Male,MCA,4,75.62,7.51,79.0,22,0,Average,8.13,6.84,6.57
SEM4_0208,Hardik Atwal,23,Male,MCA,4,80.18,7.42,73.0,24,0,Excellent,8.06,7.46,8.11
SEM4_0209,Teerth Handa,26,Female,MCA,4,59.4,6.11,78.6,22,0,Average,8.09,8.27,8.33
SEM4_0210,Baghyawati Garg,26,Male,MCA,4,58.2,5.92,77.2,15,0,Average,7.16,6.96,6.51
SEM4_0211,Aayush Chaudhary,24,Female,MCA,4,73.58,7.37,71.5,22,1,Excellent,9.7,9.39,8.84
SEM4_0212,Tanish Thaman,21,Female,MCA,4,85.41,8.81,73.2,24,3,Average,8.64,9.22,9.8
SEM4_0213,Vaishnavi Peri,21,Female,MCA,4,79.86,8.35,88.1,14,4,At-risk,8.47,8.51,8.59
SEM4_0214,Qasim Sarraf,28,Male,MCA,4,71.16,6.13,74.0,11,1,Average,6.46,6.2,7.32
SEM4_0215,Hredhaan Golla,23,Female,MCA,4,49.03,5.15,81.3,24,0,Average,8.09,7.7,7.8
SEM4_0216,Isha Raghavan,27,Male,MCA,4,73.2,7.09,89.8,20,0,Average,7.98,7.3,7.23
SEM4_0217,Panini Kala,21,Female,MCA,4,74.91,7.11,79.8,21,0,Average,8.0,7.93,6.8
SEM4_0218,Yoshita Kari,24,Male,MCA,4,56.0,5.06,81.7,16,0,Average,7.33,7.6,6.84
SEM4_0219,Nikita Chowdhury,23,Female,MCA,4,71.17,6.69,85.2,30,0,Excellent,9.8,8.82,8.05
SEM4_0220,Dipta Dasgupta,27,Female,MCA,4,66.76,6.98,80.6,23,0,Excellent,8.57,8.71,9.18
SEM4_0221,Unnati Choudhary,23,Male,MCA,4,87.31,8.51,82.5,26,0,Excellent,9.67,9.64,9.6
SEM4_0222,Zinal Deshpande,21,Female,MCA,4,95.0,9.43,79.9,29,1,Excellent,9.63,9.77,9.27
SEM4_0223,Warhi Patel,26,Female,MCA,4,72.31,7.36,81.2,19,1,Average,7.62,6.99,6.81
SEM4_0224,Bhavya Baria,25,Female,MCA,4,72.65,7.11,84.4,8,0,Average,6.07,6.44,6.25
SEM4_0225,Fitan Narang,21,Female,MCA,4,73.68,7.93,77.9,29,0,Excellent,8.59,8.85,9.49
SEM4_0226,Wakeeta D’Alia,26,Female,MCA,4,62.68,6.23,68.0,21,1,Average,7.35,7.39,8.39
SEM4_0227,Lekha Mander,28,Female,MCA,4,82.18,8.25,93.2,27,0,Excellent,8.15,7.63,8.06
SEM4_0228,Tanmayi Muni,21,Male,MCA,4,78.18,8.23,59.7,21,0,Average,8.01,8.35,8.27
SEM4_0229,Sachi Kara,27,Female,MCA,4,83.51,8.59,75.1,19,0,Excellent,8.39,8.46,9.2
SEM4_0230,Nikita Mannan,28,Male,MCA,4,59.41,6.17,90.7,24,0,Excellent,8.09,8.27,8.47
SEM4_0231,Priya Gulati,23,Male,MCA,4,89.26,8.78,64.0,25,0,Average,8.69,8.12,7.64
